Текст вопроса	Номер связки 	Тематика 		
Здравствуйте, я Акбермет, мама Саипова Эмирхана и Алима, мои дети ходили в  садик после карантина с июля. Тогда мы проходили все соотствующие  процедуры, анализы сдавали и все было хорошо. Но сегодня нас высадили из  садика, т.к. мы в списке кто имел контакт с больными ковид. У нас не было  никакого контакта с больными Корона вирус, и никто из нас в семье не болел.  Мы были в Поликлинике где прикреплены, там тоже сказали нас нет в их списке  больных или кто контактировал с больными ковид. Вот нам непонятно теперь  как быть, как Роспотребнадзор составил такой список не выясняя ничего, нам  никакие постановления о мерах самоизоляции не поступили. Замкнутый круг,  Заведующий поликлиники говорит вас нет в нашем списке идите в директору  школу, а директор школы говорит обращаться в поликлинику. Так куда все таки  обращаться? Можете объяснить пожалуйста  	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
 Добрый день!         Мы прилетаем из Турции 12.09. в 22 часа.  Это суббота.  Тест мы можем сдать только в понедельник. Результаты придут через  48 часов. Загрузить сможем только в среду. Будет ли это считаться просрочкой? Тест сдаем в течение 3-х дней, а загрузка чуть позже?  С уважением Надежда Костылева                   	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день, возможно ли после возвращения из заграницы сдать анализ на антитела, а не ПЦР?    Отправлено с iPhone	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте,я гражданка РФ, посетила ДНР. При возвращении в РФ из Донецкой  народной республики необходимо делать анализ ПЦР на коронавирус в течение 3  суток с момента пересечения границы или нет?  Заранее спасибо за ответ	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте, сдавала анализ , результат отрицательный. 31 августа, приехала лаборант выписала постановление и взяла мазок. 02.09.2020 вновь приехал лаборант. У меня вопрос? Сколько можно продолжать, звонить и приезжать ?? Ели результат отрицательный, больничный лист закрыт .  Отправлено с iPhone 	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
 Добрый день! Я обучаюсь в магистратуре МГППУ. Очное отделение, бюджет. Нам выдали информацию, что для участия в очных практических занятиях необходимо предоставить * Справку о вакцинации от гриппа * Результаты мазка на Covid * Результаты на антитела на Covid  Два последних результата надо обновлять каждые 14 дней. В общем, процесс обучения превращается в процесс получения справок — это время. Скажите, пожалуйста, это распоряжение Роспотребнадзора, и что это за распоряжение? Или это вопрос к ВУЗу?   С уважением, Ольга                    	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
У моей дочери Борзуновой Дарьи Руслановны был обнаружен коронавирус в г. Воронеже, где она проживает. Я, Борзунов Руслан Алексеевич, до прохождения теста контактировал с ней, но живу в г. Липецке. В связи с этим мы вынуждены работать из дома по удалённому каналу. Повторный тест у дочери показал отсутствие заражения. Вчера 01.09.2020 дочери позвонили из Роспотребнадзора и уточнили контактных лиц, в том числе и про меня с другими членами семьи. Когда и каким образом будет организована работа по тестированию меня и моей семьи на коронавирус в Липецке? С кого требовать проведения данной работы, кому звонить в Липецке? С уважением, Борзунов Р.А. 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Здравствуйте. Лежу в больнице в Ижевске пятый день, болею две недели. Положительный тест на короновирус. Вызвал врачей из поликлиники для проверки родителей и сына с которыми тесно контактировал перед госпитализацией. Отказали, сославшись на необходимость получения распоряжения от Роспотребнадзора и сказали туда звонить самостоятельно. Звоним третий день - никто не отвечает. Сын учиться и работает в Москве, отпуск и каникулы закончились и ему необходимо возвращаться на работу и учёбу. Что делать оставаться или просто уезжать без проверки на ковид. И если оставаться, то как и где взять справки для работы и учёбы о вынужденной задержке. Надеюсь на ответ с необходимой информацией для дальнейших действий. Заранее благодарю. С уважением, Олег м. т. +7-922-685-15-91 -- Отправлено из Mail.ru для Android 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Здравствуйте Мы прибыли из Турции Какие наши действия? В какой больнице можно сдать анализ? Мы прикреплены к Мосфильмовская ул., 29А, Москва, #209 филиал 2 ГП 140 И ребёнок Мосфильмовская ул., 27А, Москва,  #131 филиал 2             	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте  Надо ли сдавать тест на коронавирус при возвращении их Абхазии, ведь оттуда я вернулась не воздушным транспортом. Спасибо 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Здравствуйте, является ли обязательным масочный режим в школах города Москвы во время занятий и на переменах для школьников и учителей?  C уважением,Геннадий.    	10	МЕРЫ В ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ 		
Добрый день, прошу разъяснить ситуацию с возвращением с отдыха из Абхазии. Наша семья вернулась из Абхазии 29 августа 2020, границу туда и обратно пересекли на машине. Нужно ли нам соблюдать двухнедельную самоизоляцию? -- Отправлено из Mail.ru для Android                     	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Добрый день!  В соответствии с постановлением  главного государственного санитарного врача российской федерации от 30.03.2020 № 9(с изменениями, внесенными постановлением № 9 от 27.07.2020), граждане, прибывшие на территорию РФ в течение трех дней обязаны пройти лабораторное исследование на COVID-2019 и загрузить на сайт госуслуг.  В соответствии с этим постановлением, я после прилета из Турции обратился в местную поликлинику, предъявил заграничный паспорт с отметкой о пересечении границы и бесплатно сдал анализ, после чего загрузил результат на сайт госуслуг.  Через несколько дней возвращаются супруга с сыном (возраст 9 лет), я решил уточнит режим работы детской поликлиники № 61 Калининского района СПб, к которой он приписан, о порядке сдачи анализа. На мой вопрос в поликлинике о сдаче анализа сына на covid был получен отказ, поскольку анализы «квотированы» и принимаются только по показаниям врача, и возврат из-за границы не является должным основанием.Дополнительно представители медицинского учреждения ссылались на постановление № 319 комитета по здравоохранению СПб.  Прошу Вас уточнить — правомерен ли отказ представителей детской поликлиники в заборе анализа возвращающегося из-за границы (из Турции) ребенка, когда такое требование четко указано постановлением № 9.  Если правомерен — значит ли это, что данное постановление вынуждает меня сдавать платный анализ на covid?  Заранее спасибо за ответ.    С уважением, Груда Евгений       	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день , сижу на карантине . Помогите узнать , когда ко мне придут с повторным тестом ? И придут ли вообще ? Никто не может внятно ответить , кто-то говорит самой вызывать из поликлиники ... скажите есть ли я в списках у вас и если есть ,какого числа ждать . Первый Тест от 26 ого августа , а заточение под карантин от 28 ого . Благодарю.    Кашуба Ирина Анатольевна 4.08.1981    Отправлено с iPhone               	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
  Будет ли тест на ковит сданный в Турции перед отлетом иметь законную силу в России?   Отправлено из мобильной Почты Mail.ru                        	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 вакцинация обязательна?                   	327	ВАКЦИНАЦИЯ		
--  Добрый день У меня закрытие больничного -4 сентября. Ребенку ограничили доступ в школу из-за контакта со мной.- сказали что это сделал "Роспортебнадзор"  Вопрос. Через какое время будет отрыт доступ в школу ребенку после моего выздоровления и какие документы необходимы и где их получать?  С уважением, Глухушин Михаил  тел. моб. 8-903-2000-828 (Москва)  8,88889E+87       	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
 Доброго времени суток  уважаемые ! я хочу полететь в гости к дочери из Калининграда в Питер 06,09,20 и вернуться обратно20,09,20. нужно ли мне иметь по прилету в Питер в аэропорту какую -то справку об отсутствии у меня короновируса, и нужно ли будет мне сдавать тест на корону, платно ли это  будет , буду ли я на обсервации и где она происходит . дочь моя проживает во Всеволжском районе Ленинградской обл.  --  С уважением Татьяна.  	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
  Добрый день,  Я являюсь арендатором в нескольких МБОУ Красноярска и оказываю услуги по проведению групповых занятий по скорочтению, группы для проведения занятий формирую из числа учащихся  МБОУ по возрастному принципу и результатам входного тестирования. Т.Е.  в моей группе занимаются дети из разных классов.  Вопросы: * могу ли я сохранить этот принцип работы в новых условиях, т.е. формировать группы из детей разных классов и на каких условиях? * в каком виде я обязана уведомить роспотребнадзор о начале работы в учреждениях (прошу прислать шаблон), если основанием для работы является договор аренды, который заключен на 11 месяцев.  Уведомление запрашивают руководители школ по исходящему письму от Управления образования города  Желаю удачного дня и приятных новостей :)  Александрова Елена Николаевна  тел. 8-913-188-61-05 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Добрый день! Сегодня ребенка не допустили к занятиям в школе сказав, что пришла  разнарядка из Роспотребнадзора о недопущении его в школу в связи с тем, что  у него был контакт с заболевшим коронавирусом.  В школе не дали никакой дополнительной информации.  Каковы наши дальнейшие действия? Сколько будет продолжаться карантин и кто  должен нас уведомить о его завершении?  Есть ли информация где и когда мы контактировали с заболевшим?  Обязаны ли родственники, проживающие совместно соблюдать режим самоизоляции  и какие документы они должны предоставлять работодателю в случае  необходимости соблюдать режим самоизоляции?  	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
 Здравствуйте! Я и муж заболели. Сразу же обратились в поликлинику Фишера в г.Волжском. Мой муж инвалид 3 группы по онкологическому заболеванию. Стали вызывать врача на дом. Т.к.у меня пропало обоняние. Но нам отказали, сославшись на то, что у нас температура 37.5 и мы в состоянии дойти самостоятельно в специальный блок, к инфекционисту. По телефону так же нам сказали, что нам возьмут тесты на ковид. Прийдя в поликлинику мы действительно оказались с блоке инфекционных больных. Очередь шла очень медленно. Врач- инфекционист отказалась вести прием, так так сама заболела. (Однако еще часа полтора ходила из кабинета в кабинет. И выходила в "здлровый блок").спустя какое то время привели терапевта, который продолжил, а вернее начал вести прием пациентов. Спустя 4 часа я и мой муж попали к врачу. Мы получили листы назначения с лечением. О тесте на ковид... никто не предлржил нам его сделать. Купив лекарства мы пришли домой. Приняли их. В 19.40 у мужа (инвалида 3 группы) началась аллергическая реакция. Пошел отек. Губы, щеки раздуло, начал отекать язык. Я немедленно вызвала скорую помощь. Тут у меня вопросов нет. Укололи супрастин, врач был внимателен. Даже горло посмотрел. И ознакомился с выпиской из онкологического центра, уточнив для себя диагноз. Кстате, у мужа температура после поликлиники была температура 38.2. Ближе к ночи, после приезда скорой 38.8 На утро я снова вызываю врача на дом. Т.к. нужно назначить новое лечение, с учетом того, что на выписанное врачом лекаства была аллергическая реакция. После долгих бесед с диспетчерской службой поликлиники №1 Фишера, к нам все таки, около 16.00 пришла врач. Назначила новое лечение. Послушала грудную клетку Сегодня муж сообщил мне, что у него пропало обоняние. И мое обоняние отстутствует. На 03.09 у нас назначен прием в поликлинику. А ведь возможно у нас ковид. Еще держится температура. А теперь ГЛАВНЫЙ ВОПРОС!!! ПОЛОЖЕНО ЛИ НАМ НАЗНАЧЕНИЕ ВРАЧЕМ ТЕСТА НА КОРОНОВИРУСНУЮ ИНФЕКЦИЮ? И КАК НАМ ЗАВТРА ПОСЕЩАТЬ ОБЫЧНОГО ТЕРАПЕВТА, КОТОРЫЙ НАХОДИТСЯ НА ЭТАЖЕ ЗДОРОВОГО БЛОКА???? ХОЧУ ДОБАВИТЬ, ЧТО Я РАБОТНИК ДЕТСКОГО САДА. НАШ САД БЫЛ ДЕЖУРНЫМ В ГОРОДЕ ВОЛЖСКОМ. ПОСЛЕДНЕЕ МОЕ ПОСЕЩЕНИЕ РАБОТЫ БЫЛО ПОНЕДЕЛЬНИК, 24.09. ЗАБОЛЕЛА Я В ПЯТНИЦУ, ВЕЧЕРОМ! Я ОЧЕНЬ ПЕРЕЖИВАЮ ЗА СЛОЖИВШУЮСЯ СИТУАЦИЮ! -- Отправлено из Mail.ru для Android 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Здравствуйте. Я обращаюсь не первый раз. 28 августа я вызвала к 5 ти летнему ребенку врача , он был с температурой 37.7 Меня попросили подписать постановление, что я не очень понимала зачем оно и как поняла пока не сдаст ребенок анализ на короновирус. Ребенок болел 1 день, возможно на нервной почве из-за некоторых событий. На следующий день он был без признаков ОРВИ и чувствует себя отлично. Тест на короновирус отрицательный. В департаменте здравоохранения сказали, что ни чем не могут помочь. Как можно снять это постановление? И если нужно проверить, что мой ребенок не является распространителем ни короновируса и никакого другого ОРВИ. В отличии от людей на улице, которые не обращались к врачу и у них есть признаки разные. МОЙ РЕБЕНОК ХОЧЕТ ГУЛЯТЬ А также разные занятия начинаются и трудно влиться в коллектив потом.  С УВ. Ульяна Владимировна 79031990990       	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
Здравствуйте! На какой адрес эл.почты можно отправить  справку  о наличии рнк коронавируса (просили предоставить такую справку после посещения заграницы) 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
28.08.2020 года меня высадили на изоляцию с вези с тем, что я контактировал  с зараженным 21.08.2020 года. Сказали, что со мной свяжется поликлиника по  месту жительства, ну они позвонили 01.09.2020 года и не знают, что со мной  делать. Предложили позвонить в Роспотребнадзор и узнать, что мне делать  дальше так как изоляция должен закончиться 03.09.2020 года.      	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
 Добрый день !  Подскажите, пожалуйста, по вопросу тестирования на коронавирус по возвращению из-за границы.  Как известно, после возвращения из-за границы, дается 72 часа для проведения тестирования на коронавирус.  Вопрос, 72 часа дается именно на само тестирование ? Или в течении 72 часов необходимо предоставить уже готовые результаты (отрицательный/положительный) ?  Во многих клиниках результаты тестирования предоставляются в течении 3-5 дней, таким образом предоставить готовые результаты в течении 72 часов невозможно.  Если 72 часа дается на само тестирование, а результаты можно предоставить позднее, то прошу подсказать, как быть с заполнением формы на сайте гос услуг, так как там необходимым полем является результат тестирования — отрицательный/положительный.  спасибо  ---- С уважением, Даурцев Илья Сергеевич   	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Добрый день! 1.Нужно ли сотруднику прибывшему из г. Тюмени быть на самоизоляции 14 дней или сдавать тест на COVID-19, перед выходом на работу в г.Сургуте ХМАО? 2.Нужно ли сотруднику прибывшему из Турции быть на самоизоляции 14 дней или сдавать тест на COVID-19, перед выходом на работу в г.Сургуте ХМАО?  С уважением, МБУК "Сургутский художественный музей"  Тел. (3462) 516-814 shmzakupki@mail.ru                 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Какие действия предпринимать при подтверждении диагноза клиническим анализом Helix? Какое лечение и рекомендации? 	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
Здравствуйте. Подскажите, пожалуйста, является ли требование администрации общеобразовательного учреждения, а именно школы в Иловлинском районе Волгоградской области , ношение масок детьми во время уроков, правомерным???                             	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Добрый день. У нас с мужем диагностировали коронавирус. Сейчас мы всей семьей находимся на карантине и лечение проходим в домашних условиях. Как в таких условиях можно сделать КТ. В нашей поликлинике сказали, что если вам станет хуже и появится отдышка или сильный кашель, то вызывайте врача, он даст направление в больницу и там сделают КТ. Можно ли настоять на проведении КТ и что для этого сделать?  --  С уважением, Ольга Александровна +7 (910) 206-01-10 oasasina@yandex.ru                 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Добрый день,  Я планирую полёт из Калининграда в Москву 17.09.2020, я должна иметь справку, что не болею ковидом или нет? Благодарю.   	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
 День добрый  Я с семьей и детьми собираюсь на отдых в Турцию по прилёту в Россию я должен сдать анализ на коронно вирус где я могу его сдать и получить справку бесплатно ..?????? Курск Олег Баклагин     Отправлено из мобильной Почты Mail.ru                 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день.  У мамы КТ легких показало 2 стороннюю вирусную пневмонию, поставили в  очередь на тест на ковид 27.08. Только сейчас 02.09 добились и пообещали,  что завтра приедут и сделают. Но у нее уже 2 день нет температуры. Скорее  всего покажет отрицательный. Я с ней контактировал и у меня ломит спину и  температура вчера 37.2, сегодня в 14.00 37.3. Делать тест в частной, я уже  не имею права, так как, имею признаки, но и на бесплатный вроде, не могу,  потому что, подтверждения, что у мамы был ковид нет.  Что мне делать?	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Доброе утро! Скажите пожалуйста, нужно ли сдавать тест на коронавирус жителям Санкт-Петербурга вернувшимся из Абхазии( границу пересекали на машине)-- Отправлено из мобильной Яндекс.Почты    	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Прошу дать разъяснение по исполнению Постановления Главного санитарного врача РФ № 22 от27.07.20 г. в части сдачи ПЦР-теста гражданами РФ по прибытии из-за рубежа ( в частности из Турции). Вопрос касается проживающих в московской области г.Мытищи — хотелось бы уточнить кто устанавливает такие астрономически не реальные цены на забор мазков из носоглотки (ПЦР-тест) — 2400 руб. с человека? Хотя интернет пестрит информацией о заботе нашего государства о здоровье человека и что сдать все тесты на «кови» можно бесплатно !!!!! Кроме того  грозятся штрафами по КОАП за неисполнение законов , извините, стоимость 2400 равноценна стоимости авиабилета, а ребенку милостливо  делают скидку  5%, И куда же смотрит наше государство на такое беззаконие? Обеспечьте  бесплатную сдачу и тестов и вот тогда не исполняющих подзаконные акты граждан и штрафуйте — это будет правильно и никто не будет против. Прошу вас дать ответ и  в силу ваших полномочий которыми вы призваны бороться за здоровье населения призвать к порядку клиники г.Мытищи и умерить свои алчные аппетиты и действительно заботится о здоровье нации а не заниматься грабежом. Очень надеюсь, что порядок будет наведен  и не будет такой необходимости подключать к этому вопросу Путина В.В.. Спасибо .                      	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Подскажите, пожалуйста,по какому адресу отправить результаты теста на ковид                                  	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Интересует перечень стран по прилету из которых гражданам, прибывшим в Россию, необходимо отправлять результаты анализов через Госуслуги.  	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Добрый день! Обязательно ли нужны тесты на ковид при в’езде в Россию с территории Украины, в том числе на ребёнка 3-х лет - (папа гражданин России).   С уважением, Балашова Ольга   отправлено из мобильной Почты Mail.ru 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Добрый день!  Собираемся с мужем и сыном в Турцию. Состоим в официальном браке. Муж — гражданин Боснии и Герцеговины, проживает постоянно на территории РФ на основании вида на жительство. Территорию РФ не покидал более года. Вопрос следующий: при возвращении в РФ надо ли ему будет сдавать тест на коронавирус на территории Турции и с ним въезжать в РФ или он может сдать тест по прибытии в РФ, как граждане РФ?  Заранее благодарю за ответ.  С уважением, Юлия Яворац 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день. Сегодня сказали, что ребенок попал в списки , в которых указано, что он контактировал с больным. Болел мой отец, который прописан по адресу : Москва, ул. Скобелевская, д. 32, КВ.12 Васильев дмитрий Юрьевич . Мы живём и сын Толстов Сергей Денисович обслуживается в поликлинике по адресу 4й Новомихалковский пр-д, д з8, КВ.49 Что нам нужно сделать, что б сына допустили до занятий? -- 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Я в воскресенье 30.08 вернулась в Россию из Турции. И должна сдать тест на  коронавирус в течение 3 дней и загрузить результаты на портале гос. услуг.  01.09 я сдала тест, т.е. в течение 3 дней, но результаты теста мне пока не  прислали и я, соответственно, не могу их загрузить по независящим от меня  причинам. Является ли это нарушением предписания и что делать в этой  ситуации.    С уважением,  Чумакова Анна  	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день!  Подскажите пожалуйста, нужен ли результат актуального анализа на COVID-19  для въезда на курорты Кавказских минеральных вод в целях отдыха. Планируем  прямой перелёт из Нижегородской области    Спасибо,  Кристина  	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Здравствуйте, 27 августа сдавал ПЦР (в гос. поликлинике) на коронавирус -  отрицательный, результат есть на руках. 29 числа сдавал на антитела (в гос.  поликлинике) - положительный, но результата на руках нет. 30 числа мне  звонили из Роспотребнадзора и сказали самоизолироваться, сказали, что  пришлют врача. В тот же день я сдал ещё один тест на антитела (в  "Гемотеста"). 31 числа пришёл отрицательный результат (результат тоже на  руках). 31-ого числа я хотел сдать ещё раз тест, чтобы было 2 отрицательных  результата подряд, но не успел: мне позвонили из моего общежития и сказали,  что пришел врач и чтобы я вернулся в общежитие. Обещали, что 1-ого числа  придут и возьмут мазок. Никто не пришёл, я весь день просидел дома + ещё  "позавтракал" только в 12 часов дня из-за того, что сказали быть голодным  перед тестом. Как итог:  1. У меня на руках только 2 отрицательных теста. Положительный тест на  почту не могут выслать, по телефону результат не говорят. Сказали, что  выслали на электронную карту на mos.ru. На mos.ru я зарегистрировался  только вчера, сегодня хотел получить электронную карту, ввёл свои данные,  проверка которых будет идти до 24 часов.  2. О положительном тесте я узнал со стационарного номера, который был  отмечен моим телефоном как "спам", но трубку я всё равно взял.  3. Родители тоже сдали тест 30 августа вместе со мной. Более того, они  сдали ещё один тест 1-ого сентября. Оба теста у обоих родителей  отрицательные.  А теперь ОБЩИЙ ИТОГ:  Я сижу в общежитии, из которого мне не разрешают выходить, жду непонятно  чего, не имея на руках даже положительного результата на COVID-19, хотя  имею 2 отрицательных (1 из которых был сделан ДО положительного результата)  + 2 отрицательных у родителей (оба теста были сделаны после моего  положительного результата).  В Роспотребнадзор дозвониться не могу: там везде одни автоответчик. Ещё  день сидеть дома не хочется, ожидая проверки данных на mos.ru. Я не могу  наладить свой прием пищи, ведь говорили, что ко мне придёт врач.  Никто не приходит  Выйти никуда не могу (хотя, по документам, положительного теста у меня нет.  Есть только звонок, который ничего формально не подтверждает)  Настоятельно прошу мне перезвонить по номеру +79253707911  Заранее спасибо за ответ/звонок. 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Добрый день!Хотелось бы выяснить какой сейчас порядок работы в больницах и скорой помощи при подозрении на короновирус. Моему отцу,который находится в группе риска +60 лет на той неделе стало плохо и не сбивалась температура,вызывали скорую,которые приехали сделали укол и уехали,легче не становилось,вчера вечером вызвали скорую опять по адресу г Коаснодар СНТ Тензоприбор, уо Октябрьская 184. в итоге скорая приехала в 5 утра(вызвали их в 7 вечера), и с подозрением на короновирус его отвезли в  Краевую клиническую больницу №2 по адресу  ​ Красных Партизан, 6/2 . В итоге ему сделали ренген, сказали потемнение в одном из легких, плюс температура у него так и держится и скачет давление. Но в итоге его отправили домой, дав список лекарств и если вдруг не станет легче то через 5 дней госпитализируют, а тест на короновирус сказали он сможет пройти когда сходит к своему участковому терапевту,простоит там очередь и тогда ему дадут направление. Человеку за 70 лет уже,у него температура,возможно он заразен и его заставляют ехать  в поликлинику. Более того талонов к терапевту нет, хотели сдать платно ,но опять же все клиники просят чтобы приходили только здоровые люди.  Как быть в итоге? Очень прошу вас разобраться в данной ситуации. Отца зовут Шкуматов Николай Матвеевич ,дата рождения 2.01.1949. Мой номер телефона   8 918 141 41  83,   8 918 178 59  41 . -- Шкуматов Александр Николаевич. Жду ответа! 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
